epoch,i,mean_dis1
0,49,4.2741498947143555
0,99,3.9183642864227295
0,149,3.8924148082733154
0,199,3.8586184978485107
0,249,3.7242419719696045
0,299,3.796003818511963
0,349,3.779742956161499
0,399,3.707813024520874
1,49,3.7405223846435547
1,99,3.737187623977661
1,149,3.704970121383667
1,199,3.7065303325653076
1,249,3.6993794441223145
1,299,3.6542415618896484
1,349,3.6827309131622314
1,399,3.7134456634521484
2,49,3.680962085723877
2,99,3.6453843116760254
2,149,3.6800992488861084
2,199,3.636279344558716
2,249,3.6442763805389404
2,299,3.6254239082336426
2,349,3.674147129058838
2,399,3.654200792312622
3,49,3.629159927368164
3,99,3.67515230178833
3,149,3.579646348953247
3,199,3.6202571392059326
3,249,3.587369918823242
3,299,3.6269116401672363
3,349,3.577791690826416
3,399,3.6210098266601562
4,49,3.6247870922088623
4,99,3.5797955989837646
4,149,3.6170291900634766
4,199,3.591862916946411
4,249,3.659252882003784
4,299,3.7006828784942627
4,349,3.6928582191467285
4,399,3.716087818145752
5,49,3.6803650856018066
5,99,3.614379644393921
5,149,3.5696818828582764
5,199,3.574671506881714
5,249,3.573296308517456
5,299,3.5038247108459473
5,349,3.5151429176330566
5,399,3.540736436843872
6,49,3.5513062477111816
6,99,3.506606340408325
6,149,3.578098773956299
6,199,3.5547657012939453
6,249,3.514418125152588
6,299,3.4754855632781982
6,349,3.5551650524139404
6,399,3.523366689682007
7,49,3.503286123275757
7,99,3.5531368255615234
7,149,3.5104167461395264
7,199,3.508308172225952
7,249,3.477644443511963
7,299,3.515488386154175
7,349,3.462252140045166
7,399,3.5327088832855225
8,49,3.4936141967773438
8,99,3.487987995147705
8,149,3.499237060546875
8,199,3.5032947063446045
8,249,3.491722822189331
8,299,3.445493698120117
8,349,3.4782848358154297
8,399,3.4741647243499756
9,49,3.4986507892608643
9,99,3.466372013092041
9,149,3.4521892070770264
9,199,3.4637162685394287
9,249,3.4591076374053955
9,299,3.4832763671875
9,349,3.459880828857422
9,399,3.466552734375
